UID          PID    PPID  C STIME TTY          TIME CMD
root         837       1  0 May14 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root         841     835  0 May14 tty2     00:00:15 /usr/lib/xorg/Xorg -nolisten tcp -auth /var/run/slim.auth
yarnellc    1038       1  0 May14 ?        00:00:00 /lib/systemd/systemd --user
yarnellc    1039    1038  0 May14 ?        00:00:00 (sd-pam)
yarnellc    1045    1038  0 May14 ?        00:00:00 /usr/bin/pipewire
yarnellc    1046    1038  0 May14 ?        00:00:00 /usr/bin/pipewire-media-session
yarnellc    1047    1038  0 May14 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
yarnellc    1051       1  0 May14 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
yarnellc    1054     835  0 May14 ?        00:00:00 /usr/libexec/gnome-session-binary
rtkit       1055       1  0 May14 ?        00:00:00 /usr/libexec/rtkit-daemon
yarnellc    1064    1038  0 May14 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
yarnellc    1078    1038  0 May14 ?        00:00:00 /usr/libexec/gvfsd
yarnellc    1091    1038  0 May14 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
yarnellc    1144    1054  0 May14 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch x-session-manager
yarnellc    1161       1  0 May14 ?        00:00:02 /usr/bin/ibus-daemon --daemonize --xim
yarnellc    1170    1038  0 May14 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
yarnellc    1178    1170  0 May14 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0.0
yarnellc    1180    1161  0 May14 ?        00:00:00 /usr/libexec/ibus-dconf
yarnellc    1181    1161  0 May14 ?        00:00:00 /usr/libexec/ibus-ui-gtk3
yarnellc    1182    1161  0 May14 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
yarnellc    1187       1  0 May14 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
yarnellc    1190    1038  0 May14 ?        00:00:00 /usr/libexec/ibus-portal
yarnellc    1199    1038  0 May14 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
yarnellc    1204    1038  0 May14 ?        00:00:00 /usr/libexec/xdg-desktop-portal
yarnellc    1210    1038  0 May14 ?        00:00:00 /usr/libexec/xdg-document-portal
yarnellc    1213    1038  0 May14 ?        00:00:00 /usr/libexec/xdg-permission-store
root        1219    1210  0 May14 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
yarnellc    1233    1038  0 May14 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
yarnellc    1243    1038  0 May14 ?        00:00:00 /usr/libexec/tracker-miner-fs-3
yarnellc    1262    1038  0 May14 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
yarnellc    1274    1038  0 May14 ?        00:00:00 /usr/libexec/dconf-service
yarnellc    1295    1161  0 May14 ?        00:00:00 /usr/libexec/ibus-engine-simple
yarnellc    1306    1038  0 May14 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
yarnellc    1321    1038  0 May14 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
yarnellc    1326    1038  0 May14 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
yarnellc    1344    1038  0 May14 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
yarnellc    1362    1038  1 May14 ?        00:00:52 /usr/bin/gnome-shell
yarnellc    1368    1038  0 May14 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
yarnellc    1372    1038  0 May14 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
yarnellc    1377    1038  0 May14 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
yarnellc    1381    1038  0 May14 ?        00:00:00 /usr/libexec/goa-daemon
yarnellc    1390    1038  0 May14 ?        00:00:00 /usr/libexec/goa-identity-service
root        1396       1  0 May14 ?        00:00:00 /usr/libexec/upowerd
yarnellc    1424    1038  0 May14 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
yarnellc    1432    1038  0 May14 ?        00:00:00 /usr/libexec/evolution-source-registry
yarnellc    1440    1038  0 May14 ?        00:00:00 /usr/libexec/evolution-calendar-factory
yarnellc    1449    1038  0 May14 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
root        1456       1  0 May14 ?        00:00:00 /usr/libexec/packagekitd
yarnellc    1465    1038  0 May14 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
yarnellc    1475    1038  0 May14 ?        00:00:00 /usr/libexec/gsd-a11y-settings
yarnellc    1476    1038  0 May14 ?        00:00:00 /usr/libexec/gsd-color
yarnellc    1477    1038  0 May14 ?        00:00:00 /usr/libexec/gsd-datetime
yarnellc    1478    1038  0 May14 ?        00:00:00 /usr/libexec/gsd-housekeeping
yarnellc    1479    1038  0 May14 ?        00:00:00 /usr/libexec/gsd-keyboard
yarnellc    1480    1038  0 May14 ?        00:00:00 /usr/libexec/gsd-media-keys
yarnellc    1483    1038  0 May14 ?        00:00:00 /usr/libexec/gsd-power
yarnellc    1486    1038  0 May14 ?        00:00:00 /usr/libexec/gsd-print-notifications
yarnellc    1488    1038  0 May14 ?        00:00:00 /usr/libexec/gsd-rfkill
yarnellc    1489    1038  0 May14 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
yarnellc    1491    1038  0 May14 ?        00:00:00 /usr/libexec/gsd-sharing
yarnellc    1494    1038  0 May14 ?        00:00:00 /usr/libexec/gsd-smartcard
yarnellc    1496    1038  0 May14 ?        00:00:00 /usr/libexec/gsd-sound
yarnellc    1497    1038  0 May14 ?        00:00:00 /usr/libexec/gsd-wacom
yarnellc    1499    1038  0 May14 ?        00:00:00 /usr/libexec/gsd-xsettings
yarnellc    1527    1038  0 May14 ?        00:00:00 /usr/bin/spice-vdagent
root        1567       1  0 May14 ?        00:00:00 /usr/sbin/spice-vdagentd
yarnellc    1576    1038  0 May14 ?        00:00:00 /usr/libexec/gsd-printer
yarnellc    1603    1321  0 May14 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
yarnellc    1608    1321  0 May14 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
colord      1649       1  0 May14 ?        00:00:00 /usr/libexec/colord
yarnellc    1712    1038  0 May14 ?        00:00:00 /usr/libexec/gvfsd-metadata
yarnellc    1716    1038  0 May14 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
yarnellc    1816    1321  0 May14 ?        00:00:00 update-notifier
yarnellc    1865    1038  0 May14 ?        00:00:00 /usr/bin/python3 /usr/bin/gnome-terminal --wait
yarnellc    1868    1865  0 May14 ?        00:00:00 /usr/bin/gnome-terminal.real --wait
yarnellc    1871    1038  0 May14 ?        00:00:09 /usr/libexec/gnome-terminal-server
yarnellc    1905    1871  0 May14 pts/0    00:00:00 bash
root        2722       2  0 00:00 ?        00:00:00 [kworker/1:2-events]
root        2815       2  0 00:22 ?        00:00:00 [kworker/u8:0-events_unbound]
root        3100       2  0 00:29 ?        00:00:00 [kworker/2:0-events]
root        3101       2  0 00:29 ?        00:00:00 [kworker/0:0-events]
root        3123       2  0 00:33 ?        00:00:00 [kworker/1:0-events]
root        3172       2  0 00:39 ?        00:00:00 [kworker/0:1-mm_percpu_wq]
root        3440       2  0 00:44 ?        00:00:00 [kworker/0:2-events]
root        3441       2  0 00:46 ?        00:00:00 [kworker/u8:2-events_unbound]
root        3701       2  0 00:46 ?        00:00:00 [kworker/2:1-mm_percpu_wq]
yarnellc    3702    1905  0 00:47 pts/0    00:00:00 ps -ef
